id,package_name,description,price,duration_days,image_url,created_at
1,Taj Mahal and Agra Fort Tour,"Explore the majestic Taj Mahal and the historic Agra Fort, with insights into Mughal architecture and history.",8000.00,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS4aFqzL-vHHboY5c1kZwv6J8z4O6KjTZDOWQ&s,2025-02-05 10:30:00
2,Qutub Minar and Red Fort Discovery,"A day tour to see Delhi’s iconic Qutub Minar and the UNESCO-listed Red Fort, including a cultural exploration of Old Delhi.",8000.00,2,https://feeds.abplive.com/onecms/images/uploaded-images/2022/01/07/b3ee2906895959aabb4c2f56165bd759_original.JPG?impolicy=abp_cdn&imwidth=1200,2025-02-05 10:30:00
3,Ajanta and Ellora Caves Tour,"Visit the ancient rock-cut temples of Ajanta and Ellora, two UNESCO World Heritage sites famous for their intricate carvings and murals.",22000.00,4,https://breathedreamgo.com/wp-content/uploads/2010/03/India-for-Beginners-custom-tours-5.jpg,2025-02-05 10:30:00
4,Fatehpur Sikri and Taj Mahal,"A guided tour of Fatehpur Sikri, the city built by Emperor Akbar, followed by a visit to the stunning Taj Mahal.",12000.00,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSytc8gckKeRmSUGbcFWdGwx8s3q41RHuHE3A&s,2025-02-05 10:30:00
5,Khajuraho Temples Exploration,"Discover the world-famous Khajuraho temples, known for their stunning architectural beauty and intricate sculptures.",10000.00,3,"https://etimg.etb2bimg.com/thumb/msid-89606774,imgsize-135256,width-1200,height=765,overlay-ettravel/destination/states/visitors-to-khajuraho-can-now-explore-the-city-and-countryside-on-segway.jpg",2025-02-05 10:30:00
6,Konark Sun Temple and Puri Beach,"Explore the ancient Sun Temple at Konark, a UNESCO World Heritage site, and relax on the beaches of Puri.",10000.00,4,"https://assets.cntraveller.in/photos/65a4ca16f4f38543f111ce6d/4:3/w_4608,h_3456,c_limit/1444924249",2025-02-05 10:30:00
7,Group of Monuments at Hampi,"Visit the iconic ruins of Hampi, a UNESCO-listed site, with its historic temples, markets, and royal enclosures.",18000.00,5,https://www.tourism-of-india.com/pictures/travel_guide/attractions/thmb/group-of-monuments-at-hampi-469.jpeg,2025-02-05 10:30:00
8,Elephanta Caves Tour,"Take a boat ride to the Elephanta Caves and discover the ancient rock-cut temples dedicated to Hindu gods.",7000.00,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_g0AiEB1A8WfviUBtSGRIfTcjOJH-1Wf4Tw&s,2025-02-05 10:30:00
9,Meghalaya Heritage Tour,"Explore the living root bridges, caves, and waterfalls of Meghalaya, blending nature with the state’s rich cultural heritage.",30000.00,7,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCK0_oRfezYmwnE_awRS2aTkeMxZBAPHBaUQ&s,2025-02-05 10:30:00
10,Rani ki Vav and Modhera Sun Temple,"Explore the intricate stepwells of Rani ki Vav and the Sun Temple at Modhera, showcasing India’s architectural heritage.",20000.00,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRsU4sEwIDQmmAYmeG5Rb9ombWZRXOztWZweA&s,2025-02-05 10:30:00
11,Chilika Lake and Dhauli Tour,"Visit Dhauli, the site of the Kalinga war, and take a serene boat ride on Chilika Lake to observe the unique bird sanctuary.",22000.00,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTnnETAIHf82eQWfJkyHXqWlMbAk9Q6YxSTOg&s,2025-02-05 10:30:00
12,Jantar Mantar and City Palace Tour,"A cultural journey through Jaipur, visiting the astronomical marvel of Jantar Mantar and the stunning City Palace.",21000.00,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSSguznHMnt8wjFYhS8Jb2iD0483XheQ1BxdA&s,2025-02-05 10:30:00
13,Red Fort and Jama Masjid Tour,"Explore the grandeur of the Red Fort and Jama Masjid, two iconic monuments that reflect the rich Mughal heritage of India.",18000.00,2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTz8jAWsHcRKtWddRRkE_DQGboleQAgtpXs-A&s,2025-02-05 10:30:00
14,Rock Shelters of Bhimbetka,"Discover the ancient Bhimbetka rock shelters, showcasing prehistoric cave paintings that are over 30,000 years old.",17000.00,3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS5MHpTTQl-Qac17Rmbu6NphDsQiuSgixFdVA&s,2025-02-05 10:30:00
15,Brihadeeswarar Temple and Gangaikonda Cholapuram,"Visit the grand Brihadeeswarar Temple and Gangaikonda Cholapuram, both UNESCO-listed for their architectural excellence.",25000.00,5,https://pujacraft.com/cdn/shop/articles/Brihadeeswarar-Temple-Thanjavur-Tamil-Nadu-1.jpg?v=1684509985,2025-02-05 10:30:00
